sl_no,product_name,image_file,match_level,source_shop,source_product_name,source_page_url,image_url,note
1,"4"" Gold Lakshmi Deluxe",001_4_Gold_Lakshmi_Deluxe.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),4″ Gold Lakshmi Deluxe,https://srivelavanpattasukadai.com/product/4-gold-lakshmi/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/gold-lakshmi-e1789136205625.png,
2,"2 3/4"" Kuruvi",002_2_3_4_Kuruvi.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),2 3/4″ Kuruvi,https://srivelavanpattasukadai.com/product/2-3-4-kuruvi/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/2-kuruvi.png,
3,"3.5"" Lakshmi",003_3_5_Lakshmi.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),3.5″ Lakshmi,https://srivelavanpattasukadai.com/product/3-5-lakshmi/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/3-lakshmi.png,
4,"4"" Lakshmi Premium",004_4_Lakshmi_Premium.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),4″ Lakshmi Premium,https://srivelavanpattasukadai.com/product/4-lakshmi/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/4-lakshmi-2.png,
5,2 Sound Crackers,005_2_Sound_Crackers.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),2 Sound Crackers,https://srivelavanpattasukadai.com/product/2-sound-branded-crackers/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/2-sound.png,
6,"4"" (14 Ply) Deluxe Lakshmi",006_4_14_Ply_Deluxe_Lakshmi.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),4″ (14 Ply) Deluxe Lakshmi,https://srivelavanpattasukadai.com/product/4-deluxe-lakshmi-singam/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/4-lakshmi-1.png,
7,"5"" Mega Lakshmi (Red Hulk)",007_5_Mega_Lakshmi_Red_Hulk.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),5″ Mega Lakshmi (Red Hulk),https://srivelavanpattasukadai.com/product/5-super-deluxe-lakshmi-kaalai/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/hulk-2.png,
8,"5.5"" Premium Lakshmi (Green Hulk)",008_5_5_Premium_Lakshmi_Green_Hulk.jpg,TYPE,sivancrackers.com,4'' Lakshmi Deluxe & Hulk 1 Packet - 5 Pieces,https://www.sivancrackers.com/,https://sivancrackers.s3.ap-south-1.amazonaws.com/products/images/4afa38985a11419027349dd978ec4048.webp,"4"" Hulk variant photo; product is 5.5"" Green Hulk"
9,"6"" Lakshmi (Jaguar)",009_6_Lakshmi_Jaguar.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),6″ Lakshmi (Jaguar),https://srivelavanpattasukadai.com/product/6-lakshmi-jaguar/,https://srivelavanpattasukadai.com/wp-content/uploads/2026/09/jaguar.png,
10,Ground Chakker Big (10 Pcs) (1st Size),010_Ground_Chakker_Big_10_Pcs_1st_Size.jpg,OWN_SHOP,srivelavanpattasukadai.com (own shop),Ground Chakker Big (10 Pcs) (1st Size),https://srivelavanpattasukadai.com/product/ground-chakker-big-10-pcs/,https://srivelavanpattasukadai.com/wp-content/uploads/2024/09/gc-big.png,
